Date,Open,High,Low,Close,Volume,Adjusted Close
1997-07-10,439.21,441.49,436.52,439.61,22300000.0,439.61
1997-07-09,449.18,449.64,436.84,439.21,29920000.0,439.21
1997-07-08,448.6,451.63,447.9,449.18,24660000.0,449.18
1997-07-07,450.76,454.78,448.57,448.57,27120000.0,448.57
1997-07-03,445.25,452.44,445.25,450.76,16740000.0,450.76
1997-07-02,439.75,445.3,439.64,445.25,24760000.0,445.25
1997-07-01,435.68,441.23,435.39,439.75,20810000.0,439.75
1997-06-30,431.88,438.63,430.51,435.68,27330000.0,435.68
1997-06-27,432.77,438.54,431.76,431.88,22990000.0,431.88
1997-06-26,432.77,439.11,431.17,432.77,24710000.0,432.77
1997-06-25,434.1,436.49,428.77,432.77,25410000.0,432.77
1997-06-24,429.4,434.24,428.72,434.1,25760000.0,434.1
1997-06-23,434.54,435.65,429.21,429.4,24980000.0,429.4
1997-06-20,433.01,434.54,430.74,434.54,28870000.0,434.54
1997-06-19,436.67,437.46,433.01,433.01,26990000.0,433.01
1997-06-18,439.68,439.68,435.84,436.67,23240000.0,436.67
1997-06-17,443.21,443.21,437.83,439.68,21080000.0,439.68
1997-06-16,438.46,443.81,438.34,443.21,16300000.0,443.21
1997-06-13,433.58,440.81,433.49,438.46,22200000.0,438.46
1997-06-12,427.37,434.03,427.04,433.58,21980000.0,433.58
1997-06-11,427.45,431.2,427.0,427.37,20190000.0,427.37
1997-06-10,425.37,429.49,425.29,427.45,20310000.0,427.45
1997-06-09,427.04,429.29,424.33,425.37,23000000.0,425.37
1997-06-06,424.58,432.2,424.0,427.04,29380000.0,427.04
1997-06-05,426.0,426.16,423.0,424.58,21640000.0,424.58
1997-06-04,427.34,427.5,422.61,426.0,19020000.0,426.0
1997-06-03,423.28,429.63,421.98,427.34,22560000.0,427.34
1997-06-02,423.0,426.16,421.31,423.28,20890000.0,423.28
1997-05-30,421.11,423.56,417.88,423.0,24700000.0,423.0
1997-05-29,420.76,421.7,420.17,421.11,19320000.0,421.11
1997-05-28,422.37,422.53,419.1,420.76,18210000.0,420.76
1997-05-27,422.14,423.32,419.3,422.37,17780000.0,422.37
1997-05-23,420.05,422.61,420.05,422.14,16190000.0,422.14
1997-05-22,421.9,423.56,419.97,420.05,18030000.0,420.05
1997-05-21,420.29,421.98,418.08,421.9,17990000.0,421.9
1997-05-20,419.18,420.36,414.65,420.29,15740000.0,420.29
1997-05-19,414.14,419.54,414.02,419.18,14020000.0,419.18
1997-05-16,416.07,417.09,413.19,414.14,21190000.0,414.14
1997-05-15,418.04,418.04,414.93,416.07,28500000.0,416.07
1997-05-14,419.42,420.64,417.84,418.04,23170000.0,418.04
1997-05-13,423.36,423.44,418.39,419.42,17170000.0,419.42
1997-05-12,414.37,423.56,414.33,423.36,18420000.0,423.36
1997-05-09,412.33,414.53,408.19,414.37,17930000.0,414.37
1997-05-08,405.59,415.0,403.58,412.33,20880000.0,412.33
